,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1028,fig-000191,2,Troll Warrior 3 (Orc),4,6579,852701-1,Battle Pack Troll Warriors,2009,193
1029,fig-009963,1,Troll Warrior 10 (Orc),5,6579,852701-1,Battle Pack Troll Warriors,2009,193
1030,fig-009964,2,Troll Warrior 7 with Cape (Orc),5,6579,852701-1,Battle Pack Troll Warriors,2009,193
1031,fig-000191,1,Troll Warrior 3 (Orc),4,7489,5618-1,Troll Warrior,2008,193
1032,fig-000191,2,Troll Warrior 3 (Orc),4,8354,7041-1,Troll Battle Wheel,2008,193
1033,fig-009922,1,"Knight, Dark Blue, Helmet",4,8354,7041-1,Troll Battle Wheel,2008,193
1034,fig-009946,1,Troll Warrior 7 with Armor (Orc),5,8354,7041-1,Troll Battle Wheel,2008,193
1035,fig-009947,1,"Knight, Dark Blue, Helmet, Happy / Scared",4,8354,7041-1,Troll Battle Wheel,2008,193
1036,fig-009948,1,"Knight, Dark Blue, Wide Brim Helmet, Goatee Beard",4,8354,7041-1,Troll Battle Wheel,2008,193
1037,fig-000191,2,Troll Warrior 3 (Orc),4,14912,7040-1,Dwarves' Mine Defender,2008,193
1038,fig-009949,1,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5,14912,7040-1,Dwarves' Mine Defender,2008,193
1039,fig-000191,2,Troll Warrior 3 (Orc),4,15249,7037-1,Tower Raid,2008,193
1040,fig-009944,1,Troll Warrior 7 with Shoulder Armor (Orc),5,15249,7037-1,Tower Raid,2008,193
1041,fig-009934,1,"Knight, Dark Blue, Helmet, Angry",4,15249,7037-1,Tower Raid,2008,193
1042,fig-009953,1,"Knight, Archer with Wide Brim Helmet, Quiver, Smile",5,15249,7037-1,Tower Raid,2008,193
1043,fig-000191,1,Troll Warrior 3 (Orc),4,16081,7097-1,Trolls' Mountain Fortress,2009,193
1044,fig-009926,1,Troll Warrior 2 (Orc),4,16081,7097-1,Trolls' Mountain Fortress,2009,193
1045,fig-009922,1,"Knight, Dark Blue, Helmet",4,16081,7097-1,Trolls' Mountain Fortress,2009,193
1046,fig-009918,1,"Troll, Dark Tan with Tattoos (Big Fig)",10,16081,7097-1,Trolls' Mountain Fortress,2009,193
